Scenario,Total_Revenue_5Y,Total_Expenses_5Y,Total_Profit_5Y,NPV,ROI,Breakeven_Year,Breakeven_Students,Final_Year_Margin,Max_Capacity,Y1_Students,Y5_Students
Optimistic,25992667.32,12769080.3,13223587.02,7186498.73,18.952,1,133,0.5731,600,198,600
Base,25332661.71,13321603.53,12011058.18,6376455.05,16.6335,1,154,0.5507,600,180,600
Pessimistic,20266129.37,14368425.56,5897703.8,2949184.94,7.6512,3,231,0.3822,600,144,480
